"Enabled","Ativar"
"Sort Order","Ordem de exibição"
"Title","Título"
"Allowed Methods","Serviços permitidos"
"Free Method","Serviço Para Entrega Gratuita"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo do Pacote"
"Calculate Handling Fee","Calcular taxa de manuseio"
"Handling Applied","Aplicar Manuseio"
"Handling Fee","Taxa de Manuseio"
"Show Method if Not Applicable","Mostrar método se não aplicável"
"Ship to Applicable Countries","Enviar para países aplicáveis"
"Ship to Specific Countries","Enviar para países específicos"
